CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
708082083,Existing Customer,45,F,3,High School,Married,Less than $40K,Blue,36,4,3,3,3544,1661,1883,0.831,15149,111,0.734,0.469
708083283,Attrited Customer,58,M,0,Unknown,Single,$40K - $60K,Blue,45,3,1,3,3421,2517,904,0.992,992,21,0.4,0.736
708084558,Attrited Customer,46,M,3,Doctorate,Divorced,$80K - $120K,Blue,38,6,3,3,8258,1771,6487,0,1447,23,0,0.214
708085458,Existing Customer,34,F,2,Uneducated,Single,Less than $40K,Blue,24,6,2,2,1438.3,0,1438.3,0.827,3940,82,0.952,0
708086958,Existing Customer,49,F,2,Uneducated,Married,Unknown,Blue,41,3,5,2,3128,749,2379,0.598,4369,59,0.735,0.239
708095133,Existing Customer,43,M,4,Unknown,Unknown,$120K +,Blue,34,5,2,2,33304,1833,31471,0.428,1448,29,0.381,0.055
708098133,Existing Customer,32,F,0,Graduate,Married,Less than $40K,Blue,19,6,1,0,2834,1418,1416,1.458,1598,39,0.773,0.5
708099183,Existing Customer,37,F,2,High School,Single,Less than $40K,Blue,36,4,2,2,5723,1873,3850,0.851,2732,63,0.853,0.327
708100533,Existing Customer,55,F,3,College,Single,Less than $40K,Blue,36,3,3,3,2679,2277,402,0.736,4943,85,0.735,0.85
708103608,Existing Customer,52,M,1,High School,Single,$60K - $80K,Blue,45,1,5,1,11898,2517,9381,0.745,15798,128,0.73,0.212
708104658,Existing Customer,46,M,1,Graduate,Unknown,$40K - $60K,Blue,36,4,3,2,1438.3,890,548.3,1.143,2928,48,1.4,0.619
708108333,Attrited Customer,47,F,3,Graduate,Married,Unknown,Blue,36,3,3,1,5590,0,5590,0.01,1507,32,0,0
708112008,Existing Customer,56,M,2,Graduate,Married,$80K - $120K,Blue,36,4,2,3,23510,1049,22461,0.438,1661,35,0.296,0.045
708113208,Existing Customer,53,F,1,High School,Married,Less than $40K,Blue,36,3,2,2,1688,0,1688,0.641,4375,69,0.605,0
708117933,Attrited Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,36,3,2,3,1880,0,1880,0.519,2469,34,0.417,0
708119658,Existing Customer,49,F,4,Graduate,Married,$40K - $60K,Blue,38,4,2,1,12836,1034,11802,0.663,2519,53,0.472,0.081
708121908,Attrited Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,2,3,2,22917,0,22917,0.574,2045,45,0.5,0
708123033,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Silver,30,2,1,1,11463,0,11463,0.908,14511,105,0.721,0
708125733,Existing Customer,46,F,2,College,Divorced,Less than $40K,Blue,36,4,3,1,1438.3,0,1438.3,0.906,4311,77,0.833,0
